run,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,f1_disgust_mean,f1_disgust_std,f1_fear_mean,f1_fear_std
E0_match,0.6333,0.0000,0.5341,0.0000,0.0690,0.0000,0.3749,0.0000
E5_balanced,0.6169,0.0000,0.5760,0.0000,0.4952,0.0000,0.3361,0.0000
